time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/loss,train/explained_variance,train/std
12,899.1111111111111,30,-5050.497932185186,24576,804,0.2,110,-1.8695520542562007,0.072265625,876.4467871665954,0.008015029,-0.0024632530177768784,0.0003,429.9037780761719,-3.5762786865234375e-06,0.6127016544342041
13,882.3666666666667,33,-4798.377380266667,26624,789,0.2,120,-1.8578749421983958,0.07041015625,1713.4625469207763,0.008144974,-0.007462513285281603,0.0003,626.2979736328125,8.344650268554688e-06,0.6133849620819092
14,889.71875,36,-4696.42383484375,28672,793,0.2,130,-1.8673527721315621,0.085302734375,2644.5348335266112,0.010839883,-0.008616615593928146,0.0003,1175.0928955078125,-1.4543533325195312e-05,0.6191675662994385
15,892.6764705882352,38,-4570.525897764706,30720,792,0.2,140,-1.8771435111761092,0.071630859375,1422.588077735901,0.0075287754,-0.005172010370006319,0.0003,744.5404052734375,3.916025161743164e-05,0.6174237728118896
16,887.2777777777778,41,-4426.764829277778,32768,782,0.2,150,-1.8705946303904057,0.1978515625,694.0346379756927,0.012445999,0.012215095253486652,0.0003,174.49761962890625,3.528594970703125e-05,0.6159319877624512
17,843.0243902439024,45,-4054.500127414634,34816,771,0.2,160,-1.8776274640113115,0.14140625,1288.1986434936523,0.02272351,0.0034226602787384764,0.0003,637.3760375976562,-0.015092849731445312,0.6259424686431885
18,850.3255813953489,48,-3987.0099066511625,36864,763,0.2,170,-1.8989727068692446,0.146337890625,937.0269124031067,0.0041019153,0.0006783229517168365,0.0003,813.2345581054688,0.00033843517303466797,0.6259097456932068
19,851.6444444444444,51,-3937.1890924666664,38912,755,0.2,180,-1.9058421052992345,0.11787109375,919.6148713111877,0.019735161,0.0023842754715587946,0.0003,341.9706115722656,-0.1199566125869751,0.6329203844070435
20,843.4791666666666,54,-3806.1875958958335,40960,750,0.2,190,-1.9191808581352234,0.1453125,1286.1722047805786,0.010590802,-0.0009495284437434747,0.0003,377.447509765625,-3.1828880310058594e-05,0.6308138966560364
21,781.1454545454545,57,-3457.8565838181817,43008,743,0.2,200,-1.9066695939749478,0.142236328125,690.5411093711853,0.0053404523,0.0064518743864027785,0.0003,314.6561279296875,6.133317947387695e-05,0.6242557764053345
22,786.3157894736842,61,-3423.601862824562,45056,737,0.2,210,-1.893135242164135,0.0826171875,2362.710496711731,0.0064976723,-0.006650686833017972,0.0003,810.2437133789062,0.0009236335754394531,0.6236692667007446
23,784.4833333333333,64,-3343.939511916667,47104,732,0.2,220,-1.9037906344980002,0.05654296875,872.0193457603455,0.0025193682,0.00012182898208266125,0.0003,587.7201538085938,-0.0068579912185668945,0.6321283578872681
24,775.3492063492064,67,-3251.9392662063497,49152,727,0.2,230,-1.924640542641282,0.0654296875,918.9675662994384,0.00462561,-0.005807144428399624,0.0003,464.8360900878906,0.0592537522315979,0.6354172229766846
25,781.4,71,-3202.2978892307697,51200,720,0.2,240,-1.928249815478921,0.0265625,783.6542756080628,0.002687715,-0.0033858402297482827,0.0003,386.28948974609375,0.053229689598083496,0.6340796947479248
26,787.9253731343283,74,-3167.4344558955227,53248,716,0.2,250,-1.923298791050911,0.0484375,411.4455318927765,0.0056316853,-0.003743570686492603,0.0003,133.73329162597656,0.014861702919006348,0.6329079866409302
27,790.1884057971015,77,-3115.663990246377,55296,711,0.2,260,-1.9216759741306304,0.095068359375,343.89183964729307,0.007960438,-0.009416275782859885,0.0003,164.42359924316406,-0.011654019355773926,0.6331003904342651
28,788.375,80,-3033.4478053750004,57344,708,0.2,270,-1.916799008846283,0.0681640625,325.38621492385863,0.008914637,-0.004687874695810024,0.0003,94.74552154541016,0.043364763259887695,0.6291078329086304
29,791.2,84,-2988.5354221600005,59392,705,0.2,280,-1.9044149391353131,0.05595703125,380.1616932153702,0.0067252903,-0.005899836431490257,0.0003,108.72822570800781,-0.011259198188781738,0.6252155303955078
